dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Amazon0302,True,3,0.1,fine,2,5000,5000,001101100,105,0.021,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000100100,2432,0.4864,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001001110,157,0.0314,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000001110,370,0.074,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001001010,806,0.1612,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,011101110,74,0.0148,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000101110,70,0.014,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000001100,546,0.1092,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001101110,116,0.0232,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001100110,18,0.0036,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000100110,75,0.015,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000000110,230,0.046,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001100010,1,0.0002,ESA
