dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100001000110010111110,487,0.0974,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0001100101010011000111110,59,0.0118,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0011100111110111110111110,2,0.0004,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100001000100010111010,1821,0.3642,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0111110111110111110111110,4,0.0008,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100110010100110110010,354,0.0708,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100001000010000111110,661,0.1322,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100111010110110111110,76,0.0152,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100010000110110010100,830,0.166,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100010000110110110110,453,0.0906,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100011000110110111110,127,0.0254,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0001100111010111110111110,15,0.003,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100110010110110110110,80,0.016,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0001100101010111010111110,5,0.001,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0001100011000111110111110,11,0.0022,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0001100101010101010111010,3,0.0006,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0000100011000110110011100,12,0.0024,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0011100111110011100111110,1,0.0002,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0001100111010111110011100,0,0.0,ESA
CA-AstroPh,False,5,0.0001,fine,2,5000,5000,0001100101010101010011000,0,0.0,ESA
