dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Wiki-Vote,True,3,0.1,fine,3,5000,5000,000100110,175,0.035,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,000001100,1046,0.2092,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,000000110,2170,0.434,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,000100100,1174,0.2348,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,001001010,144,0.0288,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,001101100,14,0.0028,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,000101110,20,0.004,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,000001110,218,0.0436,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,001100110,6,0.0012,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,001100010,3,0.0006,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,001101110,8,0.0016,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,001001110,21,0.0042,ESA
Wiki-Vote,True,3,0.1,fine,3,5000,5000,011101110,1,0.0002,ESA
