dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0000100011000110110111110,3,0.0006,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0000100001000100010111010,1749,0.3498,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0000100010000110110010100,2718,0.5436,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0000100110010110110110110,3,0.0006,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0000100010000110110110110,98,0.0196,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0000100110010100110110010,135,0.027,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0000100001000110010111110,27,0.0054,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0000100011000110110011100,185,0.037,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0000100001000010000111110,48,0.0096,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0001100101010101010111010,7,0.0014,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0001100101010011000111110,3,0.0006,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0001100101010101010011000,23,0.0046,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0001100011000111110011100,0,0.0,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0011100111110011100111110,0,0.0,ESA
roadNet-CA,False,5,0.0001,fine,1,5000,5000,0001100101010111010111110,0,0.0,ESA
