dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Amazon0302,True,3,0.1,fine,2,5000,5000,001101100,87,0.0174,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000100100,2829,0.5658,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001001110,91,0.0182,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000001110,245,0.049,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001001010,576,0.1152,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,011101110,43,0.0086,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000101110,49,0.0098,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000001100,635,0.127,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001101110,75,0.015,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001100110,15,0.003,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000100110,87,0.0174,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,000000110,268,0.0536,ESA
Amazon0302,True,3,0.1,fine,2,5000,5000,001100010,2,0.0004,ESA
