dataset,directed,k,q,schedule,seed,total_samples,signature,count,concentration
Amazon0302,True,3,0.1,fine,2,767984,000001110,56632,0.07374111960665847
Amazon0302,True,3,0.1,fine,2,767984,000100100,372568,0.48512469009771036
Amazon0302,True,3,0.1,fine,2,767984,001001010,128560,0.16739932081918374
Amazon0302,True,3,0.1,fine,2,767984,000001100,79507,0.10352689639367486
Amazon0302,True,3,0.1,fine,2,767984,000000110,32784,0.042688389341444616
Amazon0302,True,3,0.1,fine,2,767984,001101100,15146,0.0197217650367716
Amazon0302,True,3,0.1,fine,2,767984,001101110,17682,0.023023917164940937
Amazon0302,True,3,0.1,fine,2,767984,000100110,12285,0.01599642700889602
Amazon0302,True,3,0.1,fine,2,767984,000101110,11774,0.01533104856351174
Amazon0302,True,3,0.1,fine,2,767984,001001110,26200,0.03411529406862643
Amazon0302,True,3,0.1,fine,2,767984,011101110,11946,0.015555011562740891
Amazon0302,True,3,0.1,fine,2,767984,001100110,2728,0.0035521573366111793
Amazon0302,True,3,0.1,fine,2,767984,001100010,172,0.00022396299922915062
