dataset,directed,k,q,schedule,seed,total_samples,signature,count,concentration
Wiki-Vote,True,3,0.1,fine,3,1333037,000100100,323692,0.24282296740450565
Wiki-Vote,True,3,0.1,fine,3,1333037,000001100,274799,0.20614506574086092
Wiki-Vote,True,3,0.1,fine,3,1333037,001001010,35493,0.026625667554614013
Wiki-Vote,True,3,0.1,fine,3,1333037,000000110,579844,0.4349796742325982
Wiki-Vote,True,3,0.1,fine,3,1333037,000100110,46100,0.03458268600196394
Wiki-Vote,True,3,0.1,fine,3,1333037,001101100,4506,0.0033802512608427223
Wiki-Vote,True,3,0.1,fine,3,1333037,000001110,55736,0.04181129255977141
Wiki-Vote,True,3,0.1,fine,3,1333037,001100110,1776,0.0013322961028088493
Wiki-Vote,True,3,0.1,fine,3,1333037,000101110,5818,0.004364470003458269
Wiki-Vote,True,3,0.1,fine,3,1333037,001101110,1549,0.0011620082563349704
Wiki-Vote,True,3,0.1,fine,3,1333037,001001110,2800,0.0021004668287526902
Wiki-Vote,True,3,0.1,fine,3,1333037,011101110,205,0.00015378417853367912
Wiki-Vote,True,3,0.1,fine,3,1333037,001100010,719,0.0005393698749547087
