dataset,k,signature,orig_concentration,rand_mean_concentration,rand_std_concentration,enrichment_ratio,z_score,p_value,q,schedule,directed,random_graphs,swaps_per_edge,tries_per_swap,full_enumeration,seeds,triad
Wiki-Vote,3,000000110,0.43470332986471577,0.43431641384597736,3.0445596416280343e-05,1.0008908620683068,12.708439455353119,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",021D
Wiki-Vote,3,000100100,0.24258189102998895,0.24926599036732391,1.9068746752213865e-05,0.9731848724028291,-350.52640974210567,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",021U
Wiki-Vote,3,000001100,0.20624498720953496,0.21173765759549706,2.485378674795234e-05,0.9740590764612345,-220.99933670729803,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",021C
Wiki-Vote,3,000100110,0.03474375727138213,0.020233547939402987,4.772759006123816e-05,1.7171361827117744,304.02141221380407,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",030T
Wiki-Vote,3,001001010,0.0267561337588275,0.030121543058838546,7.849629228506914e-06,0.8882723473549428,-428.7348105295395,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",111D
Wiki-Vote,3,000001110,0.041918421148439765,0.045524315597754154,2.954494649095068e-05,0.9207919020425146,-122.0477569799911,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",111U
Wiki-Vote,3,001101100,0.0034206625497803667,0.0015508920508007723,5.742645090898298e-06,2.205609699278667,325.5939500672005,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",120D
Wiki-Vote,3,000101110,0.0043674163243629,0.002040773172996625,1.3911340446294746e-05,2.1400792514093494,167.2479485602677,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",120U
Wiki-Vote,3,001101110,0.0011598060741861,0.0005545768274463537,4.279603617684259e-06,2.0913352610252947,141.42179996268965,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",210
Wiki-Vote,3,001100110,0.0013276055674244333,0.0010555994890146182,3.1258205342334037e-06,1.2576792441077511,87.01909640392186,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",120C
Wiki-Vote,3,001001110,0.0021055615643596,0.0029163074088423705,1.0164377133641857e-05,0.7219957532513362,-79.76345562773145,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",201
Wiki-Vote,3,001100010,0.0005071327382995334,0.000635596977896334,1.4134461440163148e-05,0.7978841245879033,-9.088725462985721,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",030C
Wiki-Vote,3,011101110,0.0001632948986974,4.678566820894498e-05,2.043309201969899e-06,3.490276081301743,57.019872653699025,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",300
