dataset_x,k,signature,orig_concentration,rand_mean_concentration,rand_std_concentration,enrichment_ratio,z_score,p_value,q,schedule,directed,random_graphs,swaps_per_edge,tries_per_swap,full_enumeration,seeds,dataset_y,triad,direct_bc_expected_concentration,direct_bc_observed_concentration,direct_bc_enrichment_ratio,direct_bc_z_score,T,T_connected,n,m,seed,method,lambda_correction
Wiki-Vote,3,000000110,0.43470332986471577,0.43431641384597736,3.0445596416280343e-05,1.0008908620683068,12.708439455353119,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,021D,0.44102348350370135,0.4348955742609126,0.9861052540919006,-45.05886456462106,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,000100100,0.24258189102998895,0.24926599036732391,1.9068746752213865e-05,0.9731848724028291,-350.52640974210567,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,021U,0.2508269060528357,0.24253222457652232,0.966930655060721,-69.85815722031084,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,000001100,0.20624498720953496,0.21173765759549706,2.485378674795234e-05,0.9740590764612345,-220.99933670729803,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,021C,0.2486439965457187,0.20608288726923846,0.8288271188214494,-359.49812324068563,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,000100110,0.03474375727138213,0.020233547939402987,4.772759006123816e-05,1.7171361827117744,304.02141221380407,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,030T,0.024629669716942425,0.034715423036518964,1.4094960848232034,237.56903619197644,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,001001010,0.0267561337588275,0.030121543058838546,7.849629228506914e-06,0.8882723473549428,-428.7348105295395,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,111D,0.01387862381247976,0.026818689331569334,1.9323738213477457,403.825412093902,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,000001110,0.041918421148439765,0.045524315597754154,2.954494649095068e-05,0.9207919020425146,-122.0477569799911,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,111U,0.01773006499695356,0.04190361594387853,2.363421451138422,668.7525006385084,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,001101100,0.0034206625497803667,0.0015508920508007723,5.742645090898298e-06,2.205609699278667,325.5939500672005,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,120D,0.0008531935703999393,0.003418086636743497,4.006226435978942,320.72025055634214,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,000101110,0.0043674163243629,0.002040773172996625,1.3911340446294746e-05,2.1400792514093494,167.2479485602677,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,120U,0.0011377876929540619,0.004370910453917764,3.8415870385884365,350.1340485221455,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,001101110,0.0011598060741861,0.0005545768274463537,4.279603617684259e-06,2.0913352610252947,141.42179996268965,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,210,2.87732233335057e-05,0.0011460144730186554,39.82920021630493,760.4217144213419,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,001100110,0.0013276055674244333,0.0010555994890146182,3.1258205342334037e-06,1.2576792441077511,87.01909640392186,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,120C,0.0002693609913070067,0.0013254754628360449,4.920814466877729,234.9620377020563,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,001001110,0.0021055615643596,0.0029163074088423705,1.0164377133641857e-05,0.7219957532513362,-79.76345562773145,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,201,0.00017046596747472586,0.00212232127088391,12.450117183645913,545.8349658415725,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,001100010,0.0005071327382995334,0.000635596977896334,1.4134461440163148e-05,0.7978841245879033,-9.088725462985721,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,030C,0.0008072361083802605,0.0005097982549369403,0.631535494565355,-38.23550815077073,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,3,011101110,0.0001632948986974,4.678566820894498e-05,2.043309201969899e-06,3.490276081301743,57.019872653699025,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]",Wiki-Vote,300,4.3781751925657045e-07,0.00015897902902301347,363.1171025155993,874.7647174168461,100000,13328802,7115,103689,1,exact_bender_canfield,True
