dataset,signature,triad,expected_concentration,observed_concentration,enrichment_ratio,z_score,T,T_connected,n,m,seed,method,lambda_correction
Wiki-Vote,000000110,021D,0.44102348350370135,0.4348955742609126,0.9861052540919006,-45.05886456462106,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,000100100,021U,0.2508269060528357,0.24253222457652232,0.966930655060721,-69.85815722031084,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,000001100,021C,0.2486439965457187,0.20608288726923846,0.8288271188214494,-359.49812324068563,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,000001110,111U,0.01773006499695356,0.04190361594387853,2.363421451138422,668.7525006385084,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,000100110,030T,0.024629669716942425,0.034715423036518964,1.4094960848232034,237.56903619197644,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,001001010,111D,0.01387862381247976,0.026818689331569334,1.9323738213477457,403.825412093902,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,000101110,120U,0.0011377876929540619,0.004370910453917764,3.8415870385884365,350.1340485221455,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,001101100,120D,0.0008531935703999393,0.003418086636743497,4.006226435978942,320.72025055634214,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,001001110,201,0.00017046596747472586,0.00212232127088391,12.450117183645913,545.8349658415725,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,001100110,120C,0.0002693609913070067,0.0013254754628360449,4.920814466877729,234.9620377020563,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,001101110,210,2.87732233335057e-05,0.0011460144730186554,39.82920021630493,760.4217144213419,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,001100010,030C,0.0008072361083802605,0.0005097982549369403,0.631535494565355,-38.23550815077073,100000,13328802,7115,103689,1,exact_bender_canfield,True
Wiki-Vote,011101110,300,4.3781751925657045e-07,0.00015897902902301347,363.1171025155993,874.7647174168461,100000,13328802,7115,103689,1,exact_bender_canfield,True
