dataset,directed,k,q,schedule,seed,total_samples,signature,count,concentration
roadNet-CA,False,5,0.0001,fine,2,3789,0000100010000110110010100,2169,0.5724465558194775
roadNet-CA,False,5,0.0001,fine,2,3789,0000100011000110110011100,132,0.03483768804433888
roadNet-CA,False,5,0.0001,fine,2,3789,0000100001000010000111110,39,0.010292953285827395
roadNet-CA,False,5,0.0001,fine,2,3789,0000100001000100010111010,1238,0.32673528635523885
roadNet-CA,False,5,0.0001,fine,2,3789,0000100001000110010111110,13,0.003430984428609132
roadNet-CA,False,5,0.0001,fine,2,3789,0000100010000110110110110,78,0.02058590657165479
roadNet-CA,False,5,0.0001,fine,2,3789,0000100110010110110110110,4,0.0010556875164951175
roadNet-CA,False,5,0.0001,fine,2,3789,0000100110010100110110010,95,0.02507257851675904
roadNet-CA,False,5,0.0001,fine,2,3789,0001100101010101010011000,13,0.003430984428609132
roadNet-CA,False,5,0.0001,fine,2,3789,0000100011000110110111110,4,0.0010556875164951175
roadNet-CA,False,5,0.0001,fine,2,3789,0001100101010101010111010,3,0.000791765637371338
roadNet-CA,False,5,0.0001,fine,2,3789,0001100101010111010111110,1,0.0002639218791237794
