dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100001000010000100010,146,0.0292,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100011010100110011000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000000000110100010100,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000010000100001000010000,3566,0.7132,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000001000110010110110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100001000110010101000,1,0.0002,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0111110111110111110111110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100001000100110110000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100001000111110111000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0001100111110011100111110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100001000110110101000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000001100001000010000,401,0.0802,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000001010001000010000,28,0.0056,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000011000111010111110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000001100001000011000,66,0.0132,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000110001100011010110010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000011100000100110010,1,0.0002,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000001100011010101010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100001010000100101010,1,0.0002,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000110001100011000110110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000000010011100110110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100110110111110110000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000000000010100110110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100110010110110100110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0001110001110110110111000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000111010111000110110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000011000110110110110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100011100010100110010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100001000100010111010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100001000010010101000,1,0.0002,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000001000100010111000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0001110011110011100111010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100011100100100110000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000000000000000111100,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100010010010100101100,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000010000100001000010010,52,0.0104,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100011010011000110010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100011000110110010000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000001010001000011000,5,0.001,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100011100000100111010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100001000100010101010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100111010110110111110,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000001010001100111000,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000100010010010100101010,0,0.0,ESA
Amazon0302,True,5,0.0001,fine,3,5000,5000,0000000001100001000110010,3,0.0006,ESA
