dataset,directed,k,q,schedule,seed,total_samples,signature,count,concentration
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001100101010010000,343,0.0003186541831025955
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000101000011000,2229,0.0020707876796958757
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000000011100001100,998,0.0009271629001060942
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000010000100011000,46410,0.04311586191775935
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000010001000011000,11301,0.01049886566542983
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000010000100110010,883,0.0008203254917772357
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001010000100101010,375,0.0003483828532462779
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000010010001000,4944,0.004593079537198928
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000010010000100,21654,0.02011701947785307
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000010000110000,11319,0.010515588042385652
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000011000010000,28549,0.02652261887287463
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001100001000010000,132173,0.12279148496565409
Amazon0302,True,5,0.0001,fine,2,1076402,0000010000100001000010010,15118,0.014044938601005945
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001100001000101000,2146,0.0019936789415106997
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000010010100100,6512,0.006049784374239364
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000011000010100,1883,0.00174934643376731
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000011000100100,2445,0.002271456203165732
Amazon0302,True,5,0.0001,fine,2,1076402,0000010000100001000010000,631317,0.5865067140343477
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000101000010000,4596,0.004269780249386381
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000010000100010010,2962,0.0027517600301746
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000000011100101000,40,3.716083767960297e-05
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000000011100001000,2967,0.0027564051348845505
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001010001000011000,1780,0.0016536572767423324
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000100010001010,155,0.0001439982460084615
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001100001000110010,766,0.000711630041564397
Amazon0302,True,5,0.0001,fine,2,1076402,0000100010000110010000110,146,0.00013563705753055086
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000101000010010,304,0.0002824223663649826
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001010001000010000,4765,0.004426784788582704
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001100001000001010,2203,0.002046633135204134
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001100001000011000,37454,0.034795550361296244
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000100100001000,1930,0.0017930104180408435
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000010000110010,497,0.00046172340816906694
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000010010010000,2783,0.0025854652815583768
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000010000100010,31089,0.028882332065529422
Amazon0302,True,5,0.0001,fine,2,1076402,0000000011100000100110000,398,0.0003697503349120496
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001010011000010000,494,0.00045893634534309674
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000000010100110000,1210,0.0011241153398079899
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000000010100010010,133,0.0001235597852846799
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000010000100011010,175,0.000162578664848263
Amazon0302,True,5,0.0001,fine,2,1076402,0000010000100001000110010,6042,0.005613144531504029
Amazon0302,True,5,0.0001,fine,2,1076402,0000000000000010100011000,2377,0.0022082827791104066
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000100010000010,865,0.0008036031148214143
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001010000110101000,15,1.3935314129851115e-05
Amazon0302,True,5,0.0001,fine,2,1076402,0000010000100011000110010,173,0.00016072062296428285
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001100011000110010,43,3.9947900505573194e-05
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000011000110010,153,0.0001421402041244814
Amazon0302,True,5,0.0001,fine,2,1076402,0000000001000011000110110,9,8.361188477910669e-06
Amazon0302,True,5,0.0001,fine,2,1076402,0000100010000110010110010,28,2.601258637572208e-05
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001010001000011000,201,0.00018673320934000496
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000100010100010,627,0.0005824961306277767
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000010010001100,752,0.0006986237483765359
Amazon0302,True,5,0.0001,fine,2,1076402,0000100001000010000100110,507,0.0004710136175889677
