dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100011000110110111110,116,0.0232,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100001000110010111110,533,0.1066,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100010000110110110110,466,0.0932,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100110010100110110010,306,0.0612,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0111110111110111110111110,4,0.0008,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0001100111010111110111110,13,0.0026,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100010000110110010100,868,0.1736,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0001100101010011000111110,45,0.009,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100111010110110111110,70,0.014,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100001000100010111010,1979,0.3958,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0011100111110111110111110,2,0.0004,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0001100011000111110111110,3,0.0006,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100110010110110110110,48,0.0096,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100011000110110011100,32,0.0064,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0000100001000010000111110,502,0.1004,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0001100101010111010111110,8,0.0016,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0011100111110011100111110,0,0.0,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0001100101010101010111010,2,0.0004,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0001100111010111110011100,1,0.0002,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0001100011000111110011100,1,0.0002,ESA
CA-AstroPh,False,5,0.0001,fine,1,5000,5000,0001100101010101010011000,2,0.0004,ESA
