dataset,directed,k,q,schedule,seed,total_samples,signature,count,concentration
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100001000100010111010,4229524,0.388385007973808
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100010000110110110110,927211,0.08514311578049975
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100010000110110010100,1951419,0.17919318672154133
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100110010100110110010,812433,0.07460338259888931
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100001000010000111110,1271990,0.11680317839373981
CA-AstroPh,False,5,0.0001,fine,2,10890029,0001100101010011000111110,90294,0.008291437975050388
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100110010110110110110,141906,0.013030819293502341
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100011000110110111110,210523,0.01933172078788771
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100001000110010111110,977287,0.0897414506426016
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100011000110110011100,44466,0.004083184718791841
CA-AstroPh,False,5,0.0001,fine,2,10890029,0001100111010111110111110,26605,0.0024430605281216423
CA-AstroPh,False,5,0.0001,fine,2,10890029,0000100111010110110111110,145606,0.013370579637574886
CA-AstroPh,False,5,0.0001,fine,2,10890029,0001100101010101010011000,3249,0.0002983463129437029
CA-AstroPh,False,5,0.0001,fine,2,10890029,0001100111010111110011100,850,7.805305201666588e-05
CA-AstroPh,False,5,0.0001,fine,2,10890029,0001100101010101010111010,9522,0.0008743778368266972
CA-AstroPh,False,5,0.0001,fine,2,10890029,0001100101010111010111110,20470,0.0018797011468013537
CA-AstroPh,False,5,0.0001,fine,2,10890029,0001100011000111110111110,14133,0.0012977926872371048
CA-AstroPh,False,5,0.0001,fine,2,10890029,0011100111110111110111110,5439,0.0004994477057866421
CA-AstroPh,False,5,0.0001,fine,2,10890029,0011100111110011100111110,335,3.076208520656832e-05
CA-AstroPh,False,5,0.0001,fine,2,10890029,0001100011000111110011100,203,1.8640905363980205e-05
CA-AstroPh,False,5,0.0001,fine,2,10890029,0111110111110111110111110,6564,0.0006027532158086998
