dataset,directed,k,q,schedule,seed,samples_requested,total_samples,signature,count,concentration,algo
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000010011010,196,0.0392,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000011100011100110000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001010001100110000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000111000000010,6,0.0012,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000100011000,229,0.0458,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010110111110,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010011110111000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000100001000010010100100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000011000000010,10,0.002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000010011110,174,0.0348,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010100011000,152,0.0304,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000011000010000,30,0.006,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000010000110000,51,0.0102,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000010011100,591,0.1182,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010001000011010,33,0.0066,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010001100011000,17,0.0034,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000110010100,165,0.033,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010000111010,53,0.0106,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100001000110000,16,0.0032,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000100010010,88,0.0176,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010001100011010,4,0.0008,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010001010011100,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010100010010,90,0.018,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000100110000,61,0.0122,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000010010110100,6,0.0012,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010010111110,3,0.0006,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000011000100100,11,0.0022,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000101000010000,12,0.0024,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001010001000101100,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010000111000,71,0.0142,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010001100011100,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100001000010000,50,0.01,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000010111100,60,0.012,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000000111100,223,0.0446,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000110010110,77,0.0154,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000100011110,7,0.0014,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010001000011110,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000011000110010,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000000011110,645,0.129,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000100001000100110001100,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010110111010,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010100111000,23,0.0046,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000011100111100,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010010111000,6,0.0012,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000100001000011110100100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100001010010100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000100011010,45,0.009,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100001100010000,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000100111000,22,0.0044,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000110100110000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000110100111000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000110110110,7,0.0014,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000000111110,68,0.0136,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010100011100,58,0.0116,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010001000011000,127,0.0254,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010100110100,10,0.002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000010111110,15,0.003,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010010110110100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000011010110110,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000110011100,5,0.001,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010110010000,47,0.0094,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100001000010010,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010010110111100,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000110011100,52,0.0104,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010100110000,138,0.0276,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000010000100001000010000,50,0.01,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000011010010000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010010110011110,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000111010110000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000011100100100,12,0.0024,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000100111110,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000011000010110,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000110100111010,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000010010110000,5,0.001,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000111000110000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000101000010110,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010010111100,12,0.0024,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000100001000100110000110,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010010011000,20,0.004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010110010100,7,0.0014,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100001010110100,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000110100010010,7,0.0014,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000110011110,16,0.0032,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000010000100001000010010,13,0.0026,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000110110000,15,0.003,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000110010100,8,0.0016,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000011100101000,36,0.0072,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000110001100011010111000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010110111000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000011110100100,3,0.0006,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000100100111000,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000011100101100,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100001000110010,8,0.0016,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001000101000010010,2,0.0004,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010001010011000,5,0.001,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100011010101000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000000110111100,11,0.0022,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000010100111100,4,0.0008,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000100010110110100010010,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100011000110000,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000010000100111100111100,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000100010010101100010010,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000100010010110100101010,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010000110010110,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000100001000010010001000,23,0.0046,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000000110110111010,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000010000100011110011000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000010000100001000110010,1,0.0002,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000100001000010010101000,0,0.0,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000000010001000111000,15,0.003,ESA
Wiki-Vote,True,5,0.0001,fine,1,5000,5000,0000000001100001000101000,9,0.0018,ESA
