dataset,directed,k,q,schedule,seed,total_samples,signature,count,concentration
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000000110010100,1566337,0.030138773816318142
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000100100,155237,0.0029870026890278273
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000110010100,122888,0.002364557331365922
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000100011000,2150293,0.04137500063256642
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000100010010,880930,0.016950471078707292
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001000101000,84241,0.0016209286028871543
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010100110100,173661,0.0033415092663428275
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010100110000,1198210,0.02305543454215189
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000110011000,145167,0.002793240138356852
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010100011000,1565694,0.030126401490590097
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010001000011000,1150667,0.022140632859276994
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010011000101000,25099,0.00048294401780445015
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000000110010110,512872,0.009868459472465197
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000100110000,838276,0.016129741402806617
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010001000100100,5281,0.00010161470010858208
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000000010111000,1008491,0.019404944239197888
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010110010000,299884,0.005770237214043178
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000101000010000,117626,0.002263308220975587
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010110110000,122212,0.0023515500340219714
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000000010011100,6400405,0.12315380319039372
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000011100001000,843569,0.01623158700168462
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010001000010000,220223,0.004237434974817699
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000000010011010,2119722,0.0407867667759068
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010100010010,497724,0.009576988259201648
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001000010000,607039,0.011680379840790296
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000010000,462547,0.008900127758213276
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000010000100001000010000,492772,0.009481704033687977
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000100011010,491587,0.009458902780207827
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000011100101000,401833,0.007731895434336652
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000110100010000,153085,0.002945594843045311
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010010010000,318174,0.006122165421766331
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111000001000,31429,0.0006047431186730971
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010001000011010,324040,0.0062350364368841
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000000010011110,1627629,0.031318127764255126
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000110110000,109783,0.002112396633595998
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000000010,151932,0.002923409319616946
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000101000011000,32811,0.0006313349602845458
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010000111000,925442,0.01780695158073971
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100011000110010,5879,0.00011312115545130732
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001000110000,152158,0.002927757913107675
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010100011010,255109,0.0049086961806476545
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010000111010,632932,0.012178601660504652
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000110000,104738,0.0020153229426193276
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010000110010,214983,0.004136609178837966
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000010010,43420,0.0008354687140152686
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111000010000,19815,0.0003812715930035133
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000000000111100,2174883,0.04184815069423467
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000011100111000,39098,0.0007523066738961071
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000100100010000,76346,0.0014690164541734153
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010000110000,383651,0.007382045315538273
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010010011000,258549,0.004974887161214502
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000100010110010,14202,0.0002732686936076657
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100011000101000,4919,9.464925389776846e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100011000101010,1002,1.92800472465062e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010001100010000,16555,0.0003185440939779542
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001110001100010000,972,1.8702800322958108e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010011010011100,3828,7.365670744473626e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000000110011100,469732,0.009038378396403044
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001100010000,22254,0.000428201767887973
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001010001100010000,1926,3.7059252491787365e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010010100110010,11306,0.00021754512392115676
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010110010100,116739,0.0022462409536026817
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000110100011000,29054,0.0005590444038922066
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000100110100,24583,0.000473015370719423
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010101000010010,773,1.4873729063422446e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010011100011100,418,8.042973801436718e-06
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000011100001100,117673,0.0022642125744891457
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010110011100,27486,0.0005288736313547598
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001000000110,4001,7.69854980371969e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010010001000,42779,0.0008231348714154578
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010010011000,46396,0.0008927316088312391
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100100001000,26853,0.0005166937212678952
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010001000110010,7369,0.0001417910859875291
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010010011000,2577,4.958551073278091e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000110010,29582,0.0005692039497466531
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001010010100101000,5580,0.0001073679277799447
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010010000100,80503,0.0015490036362130625
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010000100010,66539,0.001280314434865545
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000100010,95267,0.0018330860888551956
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010100111010,140399,0.002701496360640942
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001000110110,3012,5.795559112422822e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100011010010100,4035,7.763971121721807e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000110100,29045,0.0005588712298151422
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111000000110,7392,0.00014223364196224933
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010110110000,2374,4.567947321677217e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000010100,149900,0.0028843104613286217
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000100010010010,47502,0.0009140127787460454
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010100110010,196362,0.003778312013391667
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010010110000,64562,0.0012422738626037258
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010010100100,28273,0.0005440167423158381
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001010010110101010,70,1.3469094882788762e-06
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000010000100001000110010,14739,0.0002836014135391765
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010100111000,276147,0.005313500206567812
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000011110011000010000,228,4.3870766189654824e-06
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001000010010,67068,0.0012904932222841095
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010000100110,13800,0.0002655335848321213
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000011100101010,80386,0.001546752373211225
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010010110100,50954,0.0009804346580823122
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010000110110,66029,0.0012705012371652274
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010010100010,5480,0.00010544377136811774
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010010010100,176373,0.0033936923882315747
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010001000111000,13133,0.0002526994615652354
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000010010011100,254390,0.004894861496046618
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000100110,20890,0.0004019562744306532
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100100100010,6461,0.00012431974576814026
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100010000110010010110,536,1.0313478367392537e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000101000110010,17533,0.0003373623436856219
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111010100110,6224,0.00011975949507211036
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100010010001000110010,792,1.523931878166957e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011010100110,10684,0.00020557687103959303
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111010100010,9342,0.00017975469199287515
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010001000011000,98736,0.001899835074781473
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010110010000,437,8.40856351968384e-06
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000100100011000,32723,0.0006296417026421381
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011010001000,32221,0.0006199824374547667
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010001000110000,32981,0.0006346060261846517
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010101000110010,442,8.50477134027519e-06
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001010001000110000,7155,0.00013767339126621942
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010110010000,3324,6.395895912912835e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100100010000,8218,0.00015812717392394007
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000100110010000,11206,0.0002156209675093298
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100010000010,15756,0.00030317008424745673
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010001000010010,14744,0.00028369762135976786
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000000110100010010,54290,0.00104462451598086
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011010110010,2685,5.166359965755404e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000110010110010,4339,8.348914670917205e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000101000010010,53165,0.0010229777563478064
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010010110010,8800,0.000169325764240773
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011010100010,15479,0.00029784017098669606
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001010000100101000,17904,0.00034450096397349995
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100010100110,3198,6.153452205022637e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011010100100,75476,0.0014522762933905208
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100111010100110,721,1.3873167729272424e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001000110010,31233,0.0006009717721059163
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000110010100010,3073,5.912932653544266e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000010010110110,18572,0.0003573543288045041
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000100010110000,45267,0.0008710078829417126
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010010100110,5004,9.628478684782137e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000011100001000010000,14044,0.0002702285264769791
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000010000100001000110100,12217,0.00023507418883290043
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000010000100001000010010,175020,0.0033676585519795557
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001000011000,84825,0.0016321656763322238
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100011000110000,16570,0.00031883271743972824
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100010101100,550,1.0582860265048312e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111000100010,34935,0.0006722040424717505
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111000000010,38639,0.0007434747959658214
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111010110000,1966,3.782891505651815e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000010000100001000010110,14301,0.0002751736084553744
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010010000110,5177,9.961357744028203e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111000110100,751,1.4450414652820515e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001010000100101010,4922,9.470697859012327e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100011010010110,482,9.274433905005975e-06
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001010010110001000,1111,2.1377377735397593e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111000010010,7518,0.0001446580790411513
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000110100010100,559,1.075603434211274e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000110110,13675,0.0002631283893173376
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010001000111000,144524,0.0027808678126288043
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010001100011000,163232,0.003140838994153393
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000101000011010,11382,0.00021900748279414525
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010001100011110,8696,0.00016732464157247296
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000110100010000,5781,0.0001112354821677169
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000100100110010,5719,0.00011004250519238418
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001010011000010000,34681,0.0006673166851857101
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001010011000101000,1166,2.2435663761902424e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100010100100,2712,5.218312188874732e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100011000110110,822,1.581656570521766e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100010000110,3267,6.286218997438698e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100010000110010110000,700,1.346909488278876e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001100001100111000,8020,0.00015431734422852267
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010110100100,3439,6.617173900272936e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010010101000,9153,0.0001761180363745222
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000111000110010,7618,0.00014658223545297827
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100100000100,1127,2.1685242761289905e-05
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000010010101100,5884,0.00011321736327189867
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011010110000,15722,0.0003025158710674356
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000100110010,123167,0.002369925727754919
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000000010000100111000,214180,0.004121158202850995
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000100001000100010100010,7846,0.00015096931207194374
Wiki-Vote,True,5,0.0001,fine,3,51970827,0000000001000011000000110,45752,0.0008803400415390735
